code,packaging_en,product_name,origins,manufacturing_places,environmental_score_grade,image_url,brands,categories
112307275,fr:brique-tetrapack,soupe potiron carottes et vermicelles,ue,,a-plus,https://images.openfoodfacts.org/images/products/000/011/230/7275/front_fr.4.400.jpg,Liebig,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Plats préparés, Soupes, Soupes de légumes"
112307279,,Soupe chinoise légume et vermicelles,,,,https://images.openfoodfacts.org/images/products/000/011/230/7279/front_en.3.400.jpg,Liebig,
112345678,,,,,,https://images.openfoodfacts.org/images/products/000/011/234/5678/front_en.4.400.jpg,,en:extra-virgin-olive-oils
112345680,Bag,Soupe Toscane,,,unknown,https://images.openfoodfacts.org/images/products/000/011/234/5680/front_fr.4.400.jpg,La Potagère,
1124,,Confiture de Grenade aux fruits secs Rihana,,,c,https://images.openfoodfacts.org/images/products/000/000/000/1124/front_fr.8.400.jpg,,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits sablés, Galettes bretonnes au beurre"
112401970,,,,,unknown,,,
112401972,,,,,unknown,https://images.openfoodfacts.org/images/products/000/011/240/1972/front_fr.3.400.jpg,,
112407373,,Soupe saveur indienne,,,,https://images.openfoodfacts.org/images/products/000/011/240/7373/front_en.3.400.jpg,Carrefour,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Meals, Soups, Vegetable soups"
112407374,Brick,Velouté Carotte Potiron Patate douce,,,,https://images.openfoodfacts.org/images/products/000/011/240/7374/front_fr.4.400.jpg,Saint Eloi,"Plats préparés, Soupes"
112407375,,,,,,https://images.openfoodfacts.org/images/products/000/011/240/7375/front_fr.3.400.jpg,Saint Eloi,
112407389,,crème de légumes,,,,https://images.openfoodfacts.org/images/products/000/011/240/7389/front_fr.4.400.jpg,auchan,
112407394,Paper,velouté 8 légumes et crème,non connu,france,unknown,,saint-eloi,Potage
112407428,,,,,unknown,https://images.openfoodfacts.org/images/products/000/011/240/7428/front_fr.4.400.jpg,,
112407429,,,,,,https://images.openfoodfacts.org/images/products/000/011/240/7429/front_fr.3.400.jpg,Carrefour,
112407433,,Soupe saveur Thaï,,,,https://images.openfoodfacts.org/images/products/000/011/240/7433/front_fr.3.400.jpg,Carrefour,
112407440,,Mouline de 10 legumes,,,unknown,https://images.openfoodfacts.org/images/products/000/011/240/7440/front_fr.3.400.jpg,Marque Repère,
112407441,,,,,unknown,https://images.openfoodfacts.org/images/products/000/011/240/7441/front_fr.6.400.jpg,Regal,
112407450,,Veloute de potiron,,,unknown,https://images.openfoodfacts.org/images/products/000/011/240/7450/front_fr.3.400.jpg,Liebig,
112407452,,Délice de 8 légumes,,,unknown,https://images.openfoodfacts.org/images/products/000/011/240/7452/front_fr.3.400.jpg,Liebig,
112407453,,soupe potiron,,,unknown,https://images.openfoodfacts.org/images/products/000/011/240/7453/front_fr.3.400.jpg,,Plats préparés
112407457,,Velouté chanterelles est Bolets,,,,https://images.openfoodfacts.org/images/products/000/011/240/7457/front_en.3.400.jpg,Saint-Eloi,
112407459,,Velouté  🥕 🎃,,,,,,
112407464,Cardboard,Velouté de 8 légumes,,,a-plus,https://images.openfoodfacts.org/images/products/000/011/240/7464/front_fr.3.400.jpg,Carrefour,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Meals, Soups, Vegetable soups, en:cream-of-vegetable-soups"
112407469,,Deli’soupe,,,a,https://images.openfoodfacts.org/images/products/000/011/240/7469/front_fr.3.400.jpg,Liebig,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Plats préparés, Soupes, Soupes à réchauffer, Soupes de légumes, Soupe à la tomate à réchauffer"
112407474,,,,,unknown,,,
112407476,,Velouté de potiron,,,,,Delhaize,
112407478,fr:brique-carton,Délisoup julienne tomates légumes avec boulettes,,,unknown,https://images.openfoodfacts.org/images/products/000/011/240/7478/front_fr.7.400.jpg,Liebig,"Plats préparés, Soupes, Soupes à réchauffer"
112407480,,,,,a,https://images.openfoodfacts.org/images/products/000/011/240/7480/front_fr.3.400.jpg,Liebig,en:vegetable-soups
112407486,,THAÏ,,,unknown,https://images.openfoodfacts.org/images/products/000/011/240/7486/front_fr.3.400.jpg,Liebig,
112407489,Brick,Mouliné de 10 légumes,,,a,https://images.openfoodfacts.org/images/products/000/011/240/7489/front_fr.3.400.jpg,Liebig,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Conserves, Plats préparés, Soupes, Soupes de légumes, Plats préparés en conserve, Soupes en conserve, Soupes de légumes en conserve"
112407490,,,,,,https://images.openfoodfacts.org/images/products/000/011/240/7490/front_en.10.400.jpg,Liebig,"Plant-based foods and beverages, Plant-based foods, Canned foods, Fruits and vegetables based foods, Meals, Soups, Vegetable soups, Canned meals, Canned soups, Canned vegetable soups"
112407491,Brick,Pursoup’ Velouté 10 Légumes,,,a,https://images.openfoodfacts.org/images/products/000/011/240/7491/front_fr.3.400.jpg,Liebig,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Plats préparés, Soupes, Veloutés, Soupes de légumes, Veloutés de légumes"
112407492,Tetra Pak,Velouté de légumes du soleil,,,unknown,https://images.openfoodfacts.org/images/products/000/011/240/7492/front_fr.7.400.jpg,liebig,"Conserves, Plats préparés, Soupes, Plats préparés en conserve, Soupes en conserve, Soupe froide soupe en conserve"
112407493,Brick,velouté de potiron,,France,a,https://images.openfoodfacts.org/images/products/000/011/240/7493/front_fr.4.400.jpg,liebig,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Plats préparés, Soupes, Soupes de légumes, Soupes de potiron"
112407494,,Velouté de Légumes Verts,,,a,https://images.openfoodfacts.org/images/products/000/011/240/7494/front_fr.3.400.jpg,Liebig,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Plats préparés, Soupes, Veloutés, Soupes de légumes, Veloutés de légumes"
112407504,Brick,mouliné  légumes d'autrefois,France,,unknown,https://images.openfoodfacts.org/images/products/000/011/240/7504/front_fr.7.400.jpg,Liebig,
112407506,,,,,unknown,https://images.openfoodfacts.org/images/products/000/011/240/7506/front_fr.4.400.jpg,Liebig,
112407509,,,,,unknown,https://images.openfoodfacts.org/images/products/000/011/240/7509/front_fr.3.400.jpg,Liebig,
112407510,Brick,velouté de cresson.,France,Vaucluse,unknown,https://images.openfoodfacts.org/images/products/000/011/240/7510/front_fr.4.400.jpg,liebig,"Plats préparés,Soupes,Veloutés,soupe de cresson"
112407512,,,,,unknown,https://images.openfoodfacts.org/images/products/000/011/240/7512/front_fr.3.400.jpg,Liebig,
112407515,,,,,unknown,https://images.openfoodfacts.org/images/products/000/011/240/7515/front_fr.4.400.jpg,Liebig,
112407517,"fr:brique-carton,fr:brique-en-carton",velouté de 10 légumes,,,unknown,https://images.openfoodfacts.org/images/products/000/011/240/7517/front_fr.31.400.jpg,régal soupe,"Plats préparés, Soupes, Soupes à réchauffer"
112407519,,Velouté  de potiron à la crème fraîche,,,,https://images.openfoodfacts.org/images/products/000/011/240/7519/front_en.3.400.jpg,Regal,
112407531,,Kippensoep,,,,,Liebig,
112407532,Cardboard,Délice de 8 légumes,,,a-plus,https://images.openfoodfacts.org/images/products/000/011/240/7532/front_fr.4.400.jpg,Liebig,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Plats préparés, Soupes, Soupes de légumes, Soupes froides"
112407544,,Légumes variés,,,,,Auchan,
112407548,,Légume d’autrefois,,,unknown,,Régal soupe,
112407550,,Velouté tomates + boulettes,,,,,Boni,
112407571,,Carotte panais,,,,,Liebig,
112407572,,Soupe délice de 8 légumes avec boulettes,,,,,Liebig,
112407573,,Minestrone,,,,,Liebig,
112407575,,Soupe tomates boulettes,,,,,Liebig,
112407576,,Tomates légumes,,,,,Liebig,
112407578,,Soupe carottes potiron,,,,https://images.openfoodfacts.org/images/products/000/011/240/7578/front_nl.23.400.jpg,Liebig,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Meals, Soups, Vegetable soups"
112407585,,Chicken soup,,,,,Liebig,
112407587,,Velouté de potiron,,,,https://images.openfoodfacts.org/images/products/000/011/240/7587/front_en.5.400.jpg,Auchan,
112407591,Cardboard,délice de 9legumes,,,unknown,,Liebig,en:soupe
112407602,,Velouté aux 8 Légumes,,,,,Leclerc,
112407603,,,,,,https://images.openfoodfacts.org/images/products/000/011/240/7603/front_fr.11.400.jpg,Carrefour,
112407607,,Suprême de tomates,,,,https://images.openfoodfacts.org/images/products/000/011/240/7607/front_en.3.400.jpg,Liebig,
112407613,,minestrone,,,,https://images.openfoodfacts.org/images/products/000/011/240/7613/front_fr.3.400.jpg,liebig,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Plats préparés, Soupes, Soupes à réchauffer, Soupes de légumes, Soupes minestrone, en:Reheatable vegetable soups, Soupe minestrone à réchauffer"
