ticker,name,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik
alec,Alector Inc,https://static.finnhub.io/logo/871e51b8-80da-11ea-b167-00000000092a.png,https://alector.com,B,Medium,B,Medium,BB,Medium,8,23,56,23,06/10/2022,BB,Medium,1653087
algm,Allegro Microsystems Inc,https://static.finnhub.io/logo/20eb4170e5f97f9a34699f366ad26aa5e0bcc1b90d5ba7ceca4d2ea325c798dc.png,https://www.allegromicro.com/en,A,High,BB,Medium,B,Medium,66,30,44,54,06/10/2022,BBB,High,866291
alf,Alfi Inc,https://static.finnhub.io/logo/954cad65a4d7e526ef98b990ffa89eaef29832cb3309ee729758201a938bb326.png,https://www.getalfi.com/,B,Medium,B,Medium,BB,Medium,5,20,60,21,06/11/2022,BB,Medium,1833908
algn,Align Technology Inc,https://static4.finnhub.io/file/publicdatany2/stock_logo/ALGN_4295900190.png,https://www.aligntech.com/,B,Medium,B,Medium,B,Medium,7,25,45,19,04/16/2022,BB,Medium,1097149
algs,Aligos Therapeutics Inc,https://static.finnhub.io/logo/6b5a2554225d2f95a883cfe8cf08836e3f393f6b9ba4ee3a8276ca38e48f43ae.png,https://www.aligos.com/,B,Medium,B,Medium,B,Medium,2,12,40,7,06/10/2022,B,Medium,1799448
alhc,Alignment Healthcare LLC,https://static.finnhub.io/logo/de5dbbf80fc814b921a6c8c5dbf9419a4bf46742aaa0f34752661418ffaa4158.png,https://www.alignmenthealthcare.com,B,Medium,BB,Medium,B,Medium,2,28,45,18,06/10/2022,BB,Medium,1832466
alks,Alkermes Plc,https://static.finnhub.io/logo/9187a488-80df-11ea-8157-00000000092a.png,http://www.alkermes.com/,BBB,High,BB,Medium,BB,Medium,41,28,64,48,04/16/2022,BBB,High,1520262
alim,Alimera Sciences Inc,https://static.finnhub.io/logo/911aa6ee-8100-11ea-ae7f-00000000092a.png,http://www.alimerasciences.com/,B,Medium,B,Medium,B,Medium,4,13,42,10,04/16/2022,B,Medium,1267602
algt,Allegiant Travel Co,https://static.finnhub.io/logo/8f1d001c-80df-11ea-9290-00000000092a.png,https://www.allegiantair.com/,B,Medium,B,Medium,B,Medium,17,9,43,15,04/16/2022,B,Medium,1362468
aih,Aesthetic Medical International Holdings Group Ltd,https://static.finnhub.io/logo/697bd3e4-81d2-11ea-8587-00000000092a.png,http://www.pengai.com.cn,B,Medium,B,Medium,BB,Medium,4,18,56,18,06/10/2022,BB,Medium,1757143
alkt,Alkami Technology Inc,https://static.finnhub.io/logo/4d26995d74a0ad752eb680076961f46e4e33333cf4615fa33aeb2e0789a1971e.png,https://www.alkami.com/,B,Medium,BB,Medium,B,Medium,15,29,46,26,06/10/2022,BB,Medium,1529274
alny,Alnylam Pharmaceuticals Inc,https://static.finnhub.io/logo/f84d39ef1ff5def1044225ef2ea4a1ed1f2deca8bc5d338574d2991c88959b10.png,https://www.alnylam.com/,BB,Medium,BB,Medium,BB,Medium,25,37,62,43,04/16/2022,BBB,High,1178670
allt,Allot Ltd,https://static.finnhub.io/logo/9564945e-80df-11ea-9144-00000000092a.png,https://www.allot.com,A,High,BB,Medium,BB,Medium,59,32,59,58,04/16/2022,BBB,High,1365767
allo,Allogene Therapeutics Inc,https://static.finnhub.io/logo/c257caf6-80da-11ea-8622-00000000092a.png,https://allogene.com/,A,High,BB,Medium,BB,Medium,65,32,57,60,06/10/2022,BBB,High,1737287
amat,Applied Materials Inc,https://static.finnhub.io/logo/907771b0-80df-11ea-848b-00000000092a.png,https://www.appliedmaterials.com/,A,High,BB,Medium,BB,Medium,63,31,56,58,04/16/2022,BBB,High,6951
amd,Advanced Micro Devices Inc,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMD_4295903297.jpeg,https://www.amd.com/en,B,Medium,B,Medium,B,Medium,0,9,31,1,04/16/2022,B,Medium,2488
atvi,Activision Blizzard Inc,https://static.finnhub.io/logo/74116cec-80fc-11ea-bc98-00000000092a.png,https://www.activisionblizzard.com/,B,Medium,BB,Medium,BB,Medium,15,37,64,38,04/16/2022,BBB,High,718877
avgo,Broadcom Inc,https://static.finnhub.io/logo/8ef67930-80d3-11ea-abb0-00000000092a.png,https://www.broadcom.com,B,Medium,B,Medium,B,Medium,2,10,31,2,04/16/2022,B,Medium,1730168
anss,ANSYS Inc,https://static.finnhub.io/logo/6edb83c2-826a-11ea-9332-00000000092a.png,https://www.ansys.com/,A,High,BB,Medium,B,Medium,73,35,52,64,04/16/2022,A,High,1013462
amzn,Amazon.com Inc,https://static.finnhub.io/logo/967bf7b0-80df-11ea-abb4-00000000092a.png,https://www.amazon.com/,AA,Excellent,BB,Medium,BBB,High,90,29,96,89,04/16/2022,A,High,1018724
aihs,Senmiao Technology Ltd,https://static.finnhub.io/logo/86ea906d08d7e5c73068d922de5ea0f69468758c41e6c219d1238ddb022b5193.png,https://www.ihongsen.com,B,Medium,B,Medium,B,Medium,4,8,31,2,06/10/2022,B,Medium,1711012
apa,APA Corp (US),https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png,https://apacorp.com/,A,High,BB,Medium,BB,Medium,60,31,62,59,04/16/2022,BBB,High,1841666
biib,Biogen Inc,https://static.finnhub.io/logo/4eb95aee-80e0-11ea-a580-00000000092a.png,https://www.biogen.com/,BB,Medium,BB,Medium,BB,Medium,35,28,72,48,04/16/2022,BBB,High,875045
bkng,Booking Holdings Inc,https://static.finnhub.io/logo/a8fcd262-80e0-11ea-9907-00000000092a.png,https://www.bookingholdings.com/,A,High,BB,Medium,BB,Medium,69,29,59,61,06/10/2022,BBB,High,1075531
cdns,Cadence Design Systems Inc,https://static.finnhub.io/logo/bbbf4280-80df-11ea-834e-00000000092a.png,https://www.cadence.com/,A,High,BB,Medium,B,Medium,58,29,55,54,04/16/2022,BBB,High,813672
cdw,CDW Corp,https://static.finnhub.io/logo/4c3802e76baf7914df0324fcd9bfd1c05c835a803751266262cf9f14022ecf4c.png,https://www.cdw.com/,B,Medium,B,Medium,B,Medium,5,10,31,4,04/16/2022,B,Medium,1402057
chrw,CH Robinson Worldwide Inc,https://static.finnhub.io/logo/390745f6-80e0-11ea-8529-00000000092a.png,https://www.chrobinson.com/,A,High,BB,Medium,BB,Medium,72,34,66,69,04/16/2022,A,High,1043277
cinf,Cincinnati Financial Corp,https://static.finnhub.io/logo/78f04730-80e0-11ea-9b3b-00000000092a.png,https://www.cinfin.com/,B,Medium,B,Medium,B,Medium,7,23,44,17,04/16/2022,BB,Medium,20286
chtr,Charter Communications Inc,https://static.finnhub.io/logo/ac65393a-80c9-11ea-a42d-00000000092a.png,https://corporate.charter.com/,A,High,BB,Medium,BB,Medium,58,28,56,53,04/16/2022,BBB,High,1091667
cmcsa,Comcast Corp,https://static.finnhub.io/logo/9f50b602-826a-11ea-855c-00000000092a.png,https://corporate.comcast.com/,A,High,BB,Medium,BB,Medium,59,36,60,60,04/16/2022,BBB,High,1166691
cprt,Copart Inc,https://static.finnhub.io/logo/c1ae2adc-80df-11ea-997f-00000000092a.png,https://www.copart.com/,B,Medium,B,Medium,B,Medium,13,9,32,8,04/16/2022,B,Medium,900075
cost,Costco Wholesale Corp,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/COST_4295912987.png,https://www.costco.com/,A,High,BB,Medium,B,Medium,65,29,38,50,04/16/2022,BBB,High,909832
csx,CSX Corp,https://static.finnhub.io/logo/b034979a-80eb-11ea-b0c3-00000000092a.png,https://www.csx.com/,A,High,BB,Medium,BB,Medium,60,30,62,58,04/17/2022,BBB,High,277948
ctsh,Cognizant Technology Solutions Corp,https://static.finnhub.io/logo/cad080be-80df-11ea-8b33-00000000092a.png,https://www.cognizant.com/,AA,Excellent,BB,Medium,BB,Medium,78,40,56,72,04/16/2022,A,High,1058290
cme,CME Group Inc,https://static.finnhub.io/logo/121b709a86980d7eb8db8589918a76d3db9e4e428b05857011dbd8957fd059bf.png,https://www.cmegroup.com/,BB,Medium,B,Medium,B,Medium,34,15,31,23,07/26/2022,BB,Medium,1156375
csco,Cisco Systems Inc,https://static.finnhub.io/logo/ca223cac-80df-11ea-a99c-00000000092a.png,https://www.cisco.com/,B,Medium,B,Medium,B,Medium,15,15,36,14,06/11/2022,B,Medium,858877
ctas,Cintas Corp,https://static.finnhub.io/logo/cb889e02-80df-11ea-80b6-00000000092a.png,https://www.cintas.com/,A,High,BB,Medium,BB,Medium,58,28,56,53,04/16/2022,BBB,High,723254
ctxs,Citrix Systems Inc,https://static.finnhub.io/logo/ceb2199a-80df-11ea-af9f-00000000092a.png,https://www.citrix.com/,A,High,BB,Medium,BB,Medium,64,29,57,58,04/16/2022,BBB,High,877890
czr,Caesars Entertainment Inc,https://static.finnhub.io/logo/45d618da-80cc-11ea-884e-00000000092a.png,https://www.caesars.com/,B,Medium,B,Medium,B,Medium,13,13,31,10,04/16/2022,B,Medium,1590895
dish,DISH Network Corp,https://static.finnhub.io/logo/c9b0175c-80df-11ea-a0ec-00000000092a.png,https://ir.dish.com/,B,Medium,B,Medium,B,Medium,2,20,32,8,04/17/2022,B,Medium,1001082
dltr,Dollar Tree Inc,https://static.finnhub.io/logo/d277a94a-80df-11ea-8f0a-00000000092a.png,https://www.dollartree.com/,B,Medium,B,Medium,B,Medium,7,9,35,6,04/17/2022,B,Medium,935703
dxcm,Dexcom Inc,https://static.finnhub.io/logo/fb3c517a-80df-11ea-a0a0-00000000092a.png,https://www.dexcom.com/,B,Medium,B,Medium,B,Medium,3,15,35,7,04/17/2022,B,Medium,1093557
ea,Electronic Arts Inc,https://static.finnhub.io/logo/556815ac-80e0-11ea-bb14-00000000092a.png,https://www.ea.com/,BB,Medium,BB,Medium,B,Medium,31,28,38,30,04/17/2022,BB,Medium,712515
lnt,Alliant Energy Corp,https://static.finnhub.io/logo/1981fcae-80ec-11ea-a4b8-00000000092a.png,https://www.alliantenergy.com/,A,High,BB,Medium,BB,Medium,61,29,56,56,04/16/2022,BBB,High,352541
fang,Diamondback Energy Inc,https://static.finnhub.io/logo/fe1ab98ccc6f7867a191970f03152cff56846b7811399704b9d4be280d895b5b.png,https://ir.diamondbackenergy.com/,A,High,B,Medium,BB,Medium,60,22,56,52,04/17/2022,BBB,High,1539838
ebay,eBay Inc,https://static.finnhub.io/logo/919a6270-826a-11ea-abe9-00000000092a.png,https://www.ebayinc.com/,A,High,BB,Medium,BB,Medium,58,28,57,54,04/17/2022,BBB,High,1065088
lkq,LKQ Corp,https://static.finnhub.io/logo/0846719a1ab7311db60cef58b6985f4e9269ceb9eaf89e63efc354b2188280a1.png,https://www.lkqcorp.com/,A,High,BB,Medium,BB,Medium,61,28,57,56,04/18/2022,BBB,High,1065696
googl,Alphabet Inc,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/GOOGL.png,https://abc.xyz/,B,Medium,BB,Medium,BB,Medium,18,40,70,44,04/30/2022,BBB,High,1652044
mar,Marriott International Inc,https://static.finnhub.io/logo/1f7dc93a-80ec-11ea-a5dc-00000000092a.png,https://www.marriott.com/,B,Medium,B,Medium,B,Medium,3,8,35,3,04/18/2022,B,Medium,1048286
mchp,Microchip Technology Inc,https://static.finnhub.io/logo/35e836b8-80e0-11ea-855a-00000000092a.png,https://www.microchip.com/,A,High,BB,Medium,BB,Medium,58,28,56,53,04/18/2022,BBB,High,827054
lrcx,Lam Research Corp,https://static.finnhub.io/logo/b05d9f52-80e0-11ea-8823-00000000092a.png,https://www.lamresearch.com/,A,High,BB,Medium,BB,Medium,60,33,60,59,04/18/2022,BBB,High,707549
mdlz,Mondelez International Inc,https://static.finnhub.io/logo/10b5dc9a-80ec-11ea-897a-00000000092a.png,https://www.mondelezinternational.com/,A,High,BB,Medium,BB,Medium,62,29,56,56,04/18/2022,BBB,High,1103982
meta,Meta Platforms Inc,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/FB.png,https://www.facebook.com,B,Medium,B,Medium,B,Medium,1,14,35,6,04/22/2022,B,Medium,1326801
mktx,Marketaxess Holdings Inc,https://static.finnhub.io/logo/4a309d80-80e1-11ea-8514-00000000092a.png,https://www.marketaxess.com/,B,Medium,B,Medium,B,Medium,6,10,34,6,04/18/2022,B,Medium,1278021
mnst,Monster Beverage Corp,https://static.finnhub.io/logo/18126d0c-80e0-11ea-a414-00000000092a.png,http://monsterbevcorp.com/,A,High,BB,Medium,BB,Medium,61,36,56,60,04/18/2022,BBB,High,865752
mrna,Moderna Inc,https://static.finnhub.io/logo/a024deee-80da-11ea-9046-00000000092a.png,https://www.modernatx.com/,A,High,BB,Medium,BB,Medium,58,28,56,53,04/18/2022,BBB,High,1682852
mtch,Match Group Inc,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/4295908221.png,https://www.mtch.com/,B,Medium,BB,Medium,BB,Medium,9,45,59,37,04/18/2022,BBB,High,891103
mpwr,Monolithic Power Systems Inc,https://static.finnhub.io/logo/3ec1921c-80e1-11ea-b9d8-00000000092a.png,https://www.monolithicpower.com/,BB,Medium,B,Medium,B,Medium,25,25,40,27,04/18/2022,BB,Medium,1280452
msft,Microsoft Corp,https://static.finnhub.io/logo/25e313016e9fac0f4b78bbd7e3afded45a8136b17f450c262aea14beed438191.png,https://www.microsoft.com/en-us,AA,Excellent,BBB,High,BB,Medium,99,56,75,100,04/27/2022,A,High,789019
mu,Micron Technology Inc,https://static.finnhub.io/logo/33e8930c-80ec-11ea-a30a-00000000092a.png,https://www.micron.com/,A,High,BB,Medium,BB,Medium,64,34,56,60,04/18/2022,BBB,High,723125
ndaq,Nasdaq Inc,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/NDAQ_8589934167.png,https://www.nasdaq.com/,A,High,BB,Medium,BB,Medium,59,30,56,55,04/18/2022,BBB,High,1120193
nlok,NortonLifeLock Inc,https://static.finnhub.io/logo/a14f7054-80e0-11ea-8378-00000000092a.png,https://www.nortonlifelock.com/,A,High,BB,Medium,BB,Medium,59,31,57,56,06/10/2022,BBB,High,849399
ntrs,Northern Trust Corp,https://static.finnhub.io/logo/729a6714ac01ab49a6f558cdeaf2d29037d313f87e6acd4af638a8152a23b9fc.png,https://www.northerntrust.com/united-states/,B,Medium,B,Medium,B,Medium,10,13,38,11,04/18/2022,B,Medium,73124
nwl,Newell Brands Inc,https://static.finnhub.io/logo/43c3da30-80ec-11ea-a6ea-00000000092a.png,https://www.newellbrands.com/,A,High,BB,Medium,BB,Medium,63,28,60,58,04/18/2022,BBB,High,814453
nvda,NVIDIA Corp,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/NVDA.png,https://www.nvidia.com/,BB,Medium,BB,Medium,B,Medium,24,28,50,32,04/18/2022,BB,Medium,1045810
allk,Allakos Inc,https://static.finnhub.io/logo/7358df46-81d5-11ea-b3b3-00000000092a.png,http://www.allakos.com/,B,Medium,B,Medium,BB,Medium,0,22,56,18,06/10/2022,BB,Medium,1564824
nwsa,News Corp,https://static.finnhub.io/logo/38632848-80ce-11ea-a34f-00000000092a.png,https://newscorp.com/,A,High,BB,Medium,BB,Medium,60,28,56,54,04/18/2022,BBB,High,1564708
odfl,Old Dominion Freight Line Inc,https://static.finnhub.io/logo/8b7ba59a51614579f97c95184c2a54ab36d44842d9bf5350e077217523059382.png,https://www.odfl.com/,BBB,High,BBB,High,B,Medium,51,52,51,61,04/18/2022,BBB,High,878927
pcar,Paccar Inc,https://static4.finnhub.io/file/publicdatany2/stock_logo/PCAR_4295907525.jpg,https://www.paccar.com/,A,High,BB,Medium,BB,Medium,71,36,57,66,04/18/2022,A,High,75362
nxpi,NXP Semiconductors NV,https://static.finnhub.io/logo/86154d10-80c9-11ea-9926-00000000092a.png,https://www.nxp.com/,A,High,BB,Medium,BB,Medium,59,33,57,58,04/18/2022,BBB,High,1413447
orly,O'Reilly Automotive Inc,https://static.finnhub.io/logo/e7e4dff0-826a-11ea-8801-00000000092a.png,https://corporate.oreillyauto.com/corporate/,A,High,BB,Medium,BB,Medium,58,28,56,53,04/18/2022,BBB,High,898173
payx,Paychex Inc,https://static.finnhub.io/logo/acaa8fac-80e0-11ea-9d58-00000000092a.png,https://www.paychex.com/,A,High,BB,Medium,B,Medium,58,28,31,43,07/26/2022,BBB,High,723531
pfg,Principal Financial Group Inc,https://static.finnhub.io/logo/52a59ab6-80ec-11ea-b750-00000000092a.png,https://www.principal.com/,A,High,BB,Medium,BB,Medium,68,32,56,61,04/18/2022,BBB,High,1126328
rost,Ross Stores Inc,https://static.finnhub.io/logo/d0674d8a-826a-11ea-8077-00000000092a.png,https://www.rossstores.com/,BB,Medium,BB,Medium,BB,Medium,34,33,56,43,04/19/2022,BBB,High,745732
sbac,SBA Communications Corp,https://static.finnhub.io/logo/19c8edbbf482503d3a876417a19001cfb20a28894f61df4606c75b8d5657da21.png,https://ir.sbasite.com/overview/default.aspx,B,Medium,B,Medium,B,Medium,10,18,35,12,04/19/2022,B,Medium,1034054
qcom,Qualcomm Inc,https://static.finnhub.io/logo/28159d10-80e1-11ea-b725-00000000092a.png,https://www.qualcomm.com/,BBB,High,BB,Medium,BB,Medium,40,28,56,44,04/19/2022,BBB,High,804328
pool,Pool Corp,https://static.finnhub.io/logo/ac59de52-80e0-11ea-9ff4-00000000092a.png,https://www.poolcorp.com/,A,High,BB,Medium,BB,Medium,63,29,60,58,04/18/2022,BBB,High,945841
pep,PepsiCo Inc,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/PEP_4295904718.png,https://www.pepsico.com/,AA,Excellent,BB,Medium,BB,Medium,100,36,71,87,04/18/2022,A,High,77476
sbux,Starbucks Corp,https://static.finnhub.io/logo/8d4c97ac-80e0-11ea-b957-00000000092a.png,https://www.starbucks.com/,BBB,High,BB,Medium,B,Medium,53,44,55,59,04/19/2022,BBB,High,829224
reg,Regency Centers Corp,https://static.finnhub.io/logo/5ecc68e8-80ec-11ea-af0b-00000000092a.png,https://www.regencycenters.com/,A,High,BB,Medium,BB,Medium,72,42,72,76,04/19/2022,A,High,910606
qrvo,Qorvo Inc,https://static.finnhub.io/logo/6008ddde-80d1-11ea-8e0e-00000000092a.png,https://www.qorvo.com/,A,High,BB,Medium,BB,Medium,65,30,57,59,04/19/2022,BBB,High,1604778
ptc,PTC Inc,https://static.finnhub.io/logo/29d81df0-80e1-11ea-8920-00000000092a.png,https://www.ptc.com/,A,High,BB,Medium,BB,Medium,67,28,58,60,04/19/2022,BBB,High,857005
penn,PENN Entertainment Inc,https://static.finnhub.io/logo/aeca4e7e-80e0-11ea-b61c-00000000092a.png,https://www.pngaming.com/,BB,Medium,BB,Medium,B,Medium,33,28,36,31,04/18/2022,BB,Medium,921738
pypl,PayPal Holdings Inc,https://static.finnhub.io/logo/58e310c0-80d2-11ea-8993-00000000092a.png,https://www.paypal.com/,BB,Medium,B,Medium,B,Medium,33,17,52,32,04/18/2022,BB,Medium,1633917
regn,Regeneron Pharmaceuticals Inc,https://static.finnhub.io/logo/94aceb0a-80e0-11ea-a230-00000000092a.png,https://www.regeneron.com/,A,High,BB,Medium,BB,Medium,59,33,57,57,04/19/2022,BBB,High,872589
amgn,Amgen Inc,https://static.finnhub.io/logo/06a226980337772e10ad0953d2904b1be6d15866d212e9912efaea5850757690.png,https://www.amgen.com/,A,High,BB,Medium,BB,Medium,72,30,63,66,04/16/2022,A,High,318154
snps,Synopsys Inc,https://static.finnhub.io/logo/b5dff9e4-80e0-11ea-b347-00000000092a.png,https://www.synopsys.com/,A,High,BB,Medium,BB,Medium,63,31,60,59,04/19/2022,BBB,High,883241
stx,Seagate Technology Holdings PLC,https://static.finnhub.io/logo/1b9ae09b2197a137d5e26ef7606d068678109eab18fefac2f4994c3ab827a080.png,https://investors.seagate.com/overview/default.aspx,A,High,BB,Medium,BB,Medium,66,38,56,64,04/19/2022,BBB,High,1137789
tech,Bio-Techne Corp,https://static.finnhub.io/logo/21c90d484b75f48b0c3943f2cd9208034fc36add542c71254724b6e6e173036c.png,https://www.bio-techne.com/,A,High,B,Medium,BB,Medium,60,21,56,51,04/16/2022,BBB,High,842023
ter,Teradyne Inc,https://static.finnhub.io/logo/8211e574-80ec-11ea-b01d-00000000092a.png,https://www.teradyne.com/,A,High,BB,Medium,BB,Medium,59,33,60,59,04/19/2022,BBB,High,97210
swks,Skyworks Solutions Inc,https://static.finnhub.io/logo/6d9737aa218175cf0ecab9fbfde6531a45cb826eab7877356403e5b905bcca2f.png,https://www.skyworksinc.com/,A,High,BB,Medium,B,Medium,61,28,49,52,04/19/2022,BBB,High,4127
trmb,Trimble Inc,https://static.finnhub.io/logo/f89b3dba-80e0-11ea-a642-00000000092a.png,https://www.trimble.com/,A,High,BBB,High,BB,Medium,67,50,60,73,04/19/2022,A,High,864749
trow,T Rowe Price Group Inc,https://static.finnhub.io/logo/f20081c2-80e0-11ea-aa51-00000000092a.png,https://www.troweprice.com,A,High,BB,Medium,BB,Medium,60,33,59,58,04/19/2022,BBB,High,1113169
ttwo,Take-Two Interactive Software Inc,https://static.finnhub.io/logo/c1e64458-80e0-11ea-8873-00000000092a.png,https://www.take2games.com/,B,Medium,BB,Medium,BB,Medium,5,29,59,26,04/19/2022,BB,Medium,946581
tsla,Tesla Inc,https://static.finnhub.io/logo/2dd96524-80c9-11ea-aaac-00000000092a.png,https://www.tesla.com/,A,High,CCC,Low,B,Medium,68,0,51,42,04/19/2022,BBB,High,1318605
tsco,Tractor Supply Co,https://static.finnhub.io/logo/c382b098-80e0-11ea-a382-00000000092a.png,https://www.tractorsupply.com/,A,High,BB,Medium,B,Medium,58,28,31,43,09/17/2022,BBB,High,916365
txn,Texas Instruments Inc,https://static.finnhub.io/logo/8e047d7e-80ec-11ea-a11f-00000000092a.png,https://www.ti.com/,A,High,BB,Medium,BB,Medium,58,28,56,53,04/19/2022,BBB,High,97476
tmus,T-Mobile US Inc,https://static.finnhub.io/logo/4ffaa8b8-80ec-11ea-94ca-00000000092a.png,https://www.t-mobile.com/,BB,Medium,BB,Medium,B,Medium,27,34,39,32,04/19/2022,BBB,High,1283699
ual,United Airlines Holdings Inc,https://static.finnhub.io/logo/b3f34b67dcba1725d92ac006206475d24142031e7f30415f77010a101e9fae1b.png,https://ir.united.com/,B,Medium,B,Medium,B,Medium,1,8,36,3,04/19/2022,B,Medium,100517
vrsk,Verisk Analytics Inc,https://static.finnhub.io/logo/fe905336-80fe-11ea-adc8-00000000092a.png,https://www.verisk.com,AA,Excellent,BB,Medium,BB,Medium,80,41,56,73,04/19/2022,A,High,1442145
ulta,Ulta Beauty Inc,https://static.finnhub.io/logo/d10866ba-80e0-11ea-9adf-00000000092a.png,https://www.ulta.com/,B,Medium,B,Medium,B,Medium,1,16,31,5,04/19/2022,B,Medium,1403568
vrtx,Vertex Pharmaceuticals Inc,https://static.finnhub.io/logo/feec7ad8-80e0-11ea-ac96-00000000092a.png,https://www.vrtx.com/,A,High,BB,Medium,BB,Medium,58,28,56,53,04/19/2022,BBB,High,875320
vtrs,Viatris Inc,https://static.finnhub.io/logo/bb69368ad1567617f611958c6dbb56e67edc624e4531b680597d2d17e8dcace8.png,https://www.viatris.com/en,A,High,BB,Medium,B,Medium,58,28,31,43,09/24/2022,BBB,High,1792044
vrsn,Verisign Inc,https://static.finnhub.io/logo/9adf6b51871316924a9578bea95b2d64a4227d34ba3b664d3826fdba28ff23ae.png,https://www.verisign.com/,A,High,BB,Medium,BB,Medium,67,38,62,67,04/19/2022,A,High,1014473
wba,Walgreens Boots Alliance Inc,https://static.finnhub.io/logo/9cc9acf0-80ec-11ea-a362-00000000092a.png,https://www.walgreensbootsalliance.com/,A,High,BB,Medium,BB,Medium,61,33,56,58,04/19/2022,BBB,High,1618921
ntap,NetApp Inc,https://static.finnhub.io/logo/8aa1beee-80e0-11ea-85fc-00000000092a.png,https://www.netapp.com/,A,High,BB,Medium,BB,Medium,66,39,62,67,04/18/2022,A,High,1002047
xel,Xcel Energy Inc,https://static.finnhub.io/logo/ad4fb250-80ec-11ea-950a-00000000092a.png,https://www.xcelenergy.com/,B,Medium,B,Medium,B,Medium,4,8,32,3,04/20/2022,B,Medium,72903
xray,DENTSPLY SIRONA Inc,https://static.finnhub.io/logo/27b1f30a-80e1-11ea-bdab-00000000092a.png,https://www.dentsplysirona.com/,A,High,BB,Medium,BB,Medium,64,31,57,59,04/17/2022,BBB,High,818479
zbra,Zebra Technologies Corp,https://static.finnhub.io/logo/19363bc2-80e1-11ea-be98-00000000092a.png,https://www.zebra.com/,BB,Medium,BB,Medium,BB,Medium,23,31,56,36,04/20/2022,BBB,High,877212
aap,Advance Auto Parts Inc,https://static.finnhub.io/logo/5fdef210-80eb-11ea-8a31-00000000092a.png,https://shop.advanceautoparts.com/,B,Medium,B,Medium,B,Medium,12,20,34,14,04/16/2022,B,Medium,1158449
zion,Zions Bancorporation NA,https://static.finnhub.io/logo/1ab22e6c-80e1-11ea-8246-00000000092a.png,https://www.zionsbank.com/,B,Medium,B,Medium,B,Medium,0,8,31,0,04/20/2022,B,Medium,109380
wynn,Wynn Resorts Ltd,https://static.finnhub.io/logo/acba626ebfc3757928c79f34ba0291de64d34a185fce74db448210806384f2dd.png,https://www.wynnresorts.com/,B,Medium,B,Medium,B,Medium,5,8,31,3,04/20/2022,B,Medium,1174922
a,Agilent Technologies Inc,https://static.finnhub.io/logo/5f1f8412-80eb-11ea-bd05-00000000092a.png,https://www.agilent.com/,A,High,B,Medium,B,Medium,72,14,40,47,04/16/2022,BBB,High,1090872
abbv,Abbvie Inc,https://static.finnhub.io/logo/8806d72c-80cd-11ea-b0f0-00000000092a.png,https://www.abbvie.com/,A,High,BB,Medium,BB,Medium,59,31,56,56,04/16/2022,BBB,High,1551152
abc,Amerisourcebergen Corp,https://static.finnhub.io/logo/984684bcb4bd8dbd25efd66e89a3e9b1529e45333e9cbcefbbb50b1d8fdd44d2.png,https://www.amerisourcebergen.com/,A,High,BB,Medium,BB,Medium,59,28,60,56,04/16/2022,BBB,High,1140859
adm,Archer-Daniels-Midland Co,https://static.finnhub.io/logo/633db98c-80eb-11ea-ab18-00000000092a.png,https://www.adm.com/,A,High,BB,Medium,BB,Medium,75,38,57,69,04/16/2022,A,High,7084
abt,Abbott Laboratories,https://static.finnhub.io/logo/d90fadbf0b79644dfb7ab6f63b510b0e690db067d5a36ebcbaebaf342c0728d0.png,https://www.abbott.com/,A,High,BB,Medium,BB,Medium,61,29,57,56,04/16/2022,BBB,High,1800
aee,Ameren Corp,https://static.finnhub.io/logo/643922d8-80eb-11ea-b89f-00000000092a.png,https://www.ameren.com/,A,High,BB,Medium,BB,Medium,70,36,56,65,04/16/2022,A,High,1002910
aes,AES Corp,https://static.finnhub.io/logo/dd2e38bf724fd9d5860157f55d57588ba0ea09e12d3ac1b9361148d013d566d4.png,https://www.aes.com/,A,High,BB,Medium,BB,Medium,63,33,74,66,04/16/2022,A,High,874761
afl,Aflac Inc,https://static.finnhub.io/logo/669fcffe-80eb-11ea-8a69-00000000092a.png,https://www.aflac.com/,BBB,High,BB,Medium,B,Medium,49,28,40,42,04/16/2022,BBB,High,4977
acn,Accenture PLC,https://static.finnhub.io/logo/d97049de-8278-11ea-8ac9-00000000092a.png,https://www.accenture.com/ie-en/,A,High,BB,Medium,BB,Medium,61,39,57,62,04/16/2022,BBB,High,1467373
ajg,Arthur J. Gallagher & Co.,https://static.finnhub.io/logo/6ad765be-80eb-11ea-97ea-00000000092a.png,https://www.ajg.com/,A,High,BB,Medium,BB,Medium,64,36,59,62,04/16/2022,BBB,High,354190
