ticker,name,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik
acac,Acri Capital Acquisition Corp,Logo Not Provided,Url Not Provided,B,Medium,B,Medium,BB,Medium,0,9,56,11,06/10/2022,B,Medium,1914023
accd,Accolade Inc,https://static.finnhub.io/logo/a967c80c75f9c72bb31fd3ae796a0a4e1e0dec7378ade4f78c06f10d89acf8bf.png,https://www.accolade.com,B,Medium,B,Medium,B,Medium,11,19,40,15,06/10/2022,B,Medium,1481646
acet,Adicet Bio Inc,https://static.finnhub.io/logo/ea701be36180b02128c519975a35fcca2ef8ef5cd412e65e7ff39eb054703270.png,https://www.adicetbio.com/,B,Medium,B,Medium,BB,Medium,3,10,57,14,04/16/2022,B,Medium,1720580
abcl,Abcellera Biologics Inc,https://static.finnhub.io/logo/cd950365b552eae0cadf348f427e5a4dd05974468d5803b8b63e44da362a5ee9.png,https://www.abcellera.com/,A,High,BB,Medium,BB,Medium,66,38,68,68,06/10/2022,A,High,1703057
abcb,Ameris Bancorp,https://static.finnhub.io/logo/8cea9450-80df-11ea-80b8-00000000092a.png,https://www.amerisbank.com/,B,Medium,BB,Medium,B,Medium,17,28,44,26,04/16/2022,BB,Medium,351569
acev,ACE Convergence Acquisition Corp,https://static.finnhub.io/logo/d86f14d77a3f95acbb00c602a4e2d735df7f2d3cfd22be9263a22876630ae65d.png,http://acev.io/home/,B,Medium,B,Medium,B,Medium,5,10,35,5,06/10/2022,B,Medium,1813658
achl,Achilles Therapeutics PLC,https://static.finnhub.io/logo/6147e0afabb6d97c0483d7921c255166e49adccf043d5bf956068f9c4c546cae.png,https://www.achillestx.com/,B,Medium,B,Medium,B,Medium,6,25,52,22,06/10/2022,BB,Medium,1830749
achc,Acadia Healthcare Company Inc,https://static.finnhub.io/logo/4b6b2e5a4cfce5b1377719219ab5a354a629c9b9fb43067b5993423152fef1fb.png,https://www.acadiahealthcare.com/,BB,Medium,B,Medium,B,Medium,25,14,36,19,04/16/2022,BB,Medium,1520697
aciw,ACI Worldwide Inc,https://static.finnhub.io/logo/875c5a76-80df-11ea-ab99-00000000092a.png,https://www.aciworldwide.com/,A,High,BB,Medium,BB,Medium,58,33,56,56,04/16/2022,BBB,High,935036
acls,Axcelis Technologies Inc,https://static.finnhub.io/logo/88b5f730-80df-11ea-94d0-00000000092a.png,https://www.axcelis.com/,A,High,BB,Medium,B,Medium,61,29,46,51,04/16/2022,BBB,High,1113232
aciu,AC Immune SA,https://static.finnhub.io/logo/f93a1c3e-80db-11ea-a2b4-00000000092a.png,https://www.acimmune.com/,B,Medium,B,Medium,BB,Medium,10,27,57,27,04/16/2022,BB,Medium,1651625
achv,Achieve Life Sciences Inc,https://static.finnhub.io/logo/bf32de26-80e0-11ea-962e-00000000092a.png,http://achievelifesciences.com/,B,Medium,B,Medium,BB,Medium,3,12,57,15,06/10/2022,B,Medium,949858
acmr,ACM Research Inc,https://static.finnhub.io/logo/bd3e9ce4b1a48aa839d6a0ff155fc165309d14773a651b8fb39fe880212870b2.png,https://www.acmrcsh.com/,BBB,High,B,Medium,BB,Medium,40,14,62,39,06/10/2022,BBB,High,1680062
acor,Acorda Therapeutics Inc,https://static.finnhub.io/logo/8d3dceec-80df-11ea-98bc-00000000092a.png,http://www.acorda.com/,B,Medium,BB,Medium,BB,Medium,6,29,59,26,04/16/2022,BB,Medium,1008848
acnb,ACNB Corp,https://static.finnhub.io/logo/fa34ff3a5a42ae240b90281cb94d9f9dc73fe2b24a600c551b6d7f0e200dd0e8.png,https://www.acnb.com/,B,Medium,B,Medium,B,Medium,4,12,35,6,04/16/2022,B,Medium,715579
acrs,Aclaris Therapeutics Inc,https://static.finnhub.io/logo/a0e2bf10-80d2-11ea-bde8-00000000092a.png,https://www.aclaristx.com/,B,Medium,B,Medium,B,Medium,6,9,36,6,04/16/2022,B,Medium,1557746
acrx,AcelRx Pharmaceuticals Inc,https://static.finnhub.io/logo/04b72c22-80ca-11ea-a317-00000000092a.png,http://www.acelrx.com,B,Medium,B,Medium,BB,Medium,0,15,56,15,04/16/2022,B,Medium,1427925
act,Enact Holdings Inc,https://static4.finnhub.io/file/publicdatany2/stock_logo/ACT_5038081287.png,https://enactmi.com/,A,High,BB,Medium,BB,Medium,66,33,60,62,04/20/2022,BBB,High,1823529
actg,Acacia Research Corp,https://static.finnhub.io/logo/9a284398-80df-11ea-8a34-00000000092a.png,http://acaciaresearch.com/,B,Medium,B,Medium,B,Medium,0,8,50,8,04/16/2022,B,Medium,934549
acva,ACV Auctions Inc,https://static.finnhub.io/logo/d1e18ee9f9b952b21566aa5cf9af8ffba761e9085e9de40fbe30fa6b65b8d785.png,https://www.acvauctions.com/,B,Medium,B,Medium,BB,Medium,7,20,60,23,06/10/2022,BB,Medium,1637873
adag,Adagene Inc,https://static.finnhub.io/logo/5dc6728a7d01cd93139ce716cce8147be340b68b00025bc3471e9350c8487792.png,https://www.adagene.com/,B,Medium,BB,Medium,BB,Medium,18,28,57,32,06/10/2022,BBB,High,1818838
acxp,Acurx Pharmaceuticals Inc,https://static.finnhub.io/logo/dae37e820f89b2050d5105bea48bf5d491196bc6ef42b3249f3bf29ca14589ca.png,https://www.acurxpharma.com/,B,Medium,BB,Medium,BB,Medium,7,28,57,26,06/11/2022,BB,Medium,1736243
adbe,Adobe Inc,https://static.finnhub.io/logo/9b4b19c2-80df-11ea-becf-00000000092a.png,https://www.adobe.com/,B,Medium,B,Medium,B,Medium,0,12,31,2,04/16/2022,B,Medium,796343
adap,Adaptimmune Therapeutics PLC,https://static.finnhub.io/logo/c2ef9c38-80d1-11ea-b201-00000000092a.png,https://www.adaptimmune.com/,BB,Medium,B,Medium,BB,Medium,32,24,57,38,04/16/2022,BBB,High,1621227
adma,ADMA Biologics Inc,https://static.finnhub.io/logo/cba1b436-80d0-11ea-bae6-00000000092a.png,https://www.admabiologics.com/,B,Medium,B,Medium,BB,Medium,8,21,61,24,04/16/2022,BB,Medium,1368514
ades,Advanced Emissions Solutions Inc,https://static.finnhub.io/logo/d0ea69a2118af9d978c84b2f19242e5a5f3275cf41c49498003f2ffb80911f23.png,https://www.ada-cs.com/Home/default.aspx,B,Medium,B,Medium,BB,Medium,1,8,56,11,04/16/2022,B,Medium,1515156
adi,Analog Devices Inc,https://static.finnhub.io/logo/638498fa-80eb-11ea-8d04-00000000092a.png,https://www.analog.com/,BB,Medium,BB,Medium,BB,Medium,29,31,56,39,04/16/2022,BBB,High,6281
adil,Adial Pharmaceuticals Inc,https://static.finnhub.io/logo/e0366ab8-80da-11ea-9da8-00000000092a.png,https://www.adialpharma.com/,B,Medium,B,Medium,BB,Medium,0,8,56,11,06/10/2022,B,Medium,1513525
admp,Adamis Pharmaceuticals Corp,https://static.finnhub.io/logo/2653d72e-80cf-11ea-b9db-00000000092a.png,http://www.adamispharmaceuticals.com/,B,Medium,B,Medium,B,Medium,16,9,35,11,04/16/2022,B,Medium,887247
acer,Acer Therapeutics Inc,https://static.finnhub.io/logo/da0a6c40-80e0-11ea-81ae-00000000092a.png,https://acertx.com/,B,Medium,B,Medium,BB,Medium,4,26,59,24,06/10/2022,BB,Medium,1069308
adoc,Edoc Acquisition Corp,Logo Not Provided,Url Not Provided,B,Medium,BB,Medium,BB,Medium,3,28,56,23,04/16/2022,BB,Medium,1824884
adus,Addus Homecare Corp,https://static.finnhub.io/logo/20ba9a37b3127f14370410e76dcf5f2e7db9e068cc08f2da0e740aa7aaa6bf52.png,https://addus.com/,B,Medium,B,Medium,B,Medium,2,11,36,5,04/16/2022,B,Medium,1468328
acgl,Arch Capital Group Ltd,https://static.finnhub.io/logo/8c4d69f6-80df-11ea-8233-00000000092a.png,https://www.archgroup.com/,A,High,BB,Medium,BB,Medium,58,28,56,53,04/16/2022,BBB,High,947484
adpt,Adaptive Biotechnologies Corp,https://static.finnhub.io/logo/49f91794-80da-11ea-be7a-00000000092a.png,https://www.adaptivebiotech.com,B,Medium,BB,Medium,B,Medium,12,37,46,29,04/16/2022,BB,Medium,1478320
adsk,Autodesk Inc,https://static.finnhub.io/logo/99d251e4-80df-11ea-ad7f-00000000092a.png,https://www.autodesk.com/,A,High,BB,Medium,BB,Medium,68,28,59,61,04/16/2022,BBB,High,769397
adp,Automatic Data Processing Inc,https://static.finnhub.io/logo/987cc1f6-80df-11ea-96e8-00000000092a.png,https://www.adp.com/,A,High,BB,Medium,B,Medium,58,28,31,43,07/25/2022,BBB,High,8670
adtx,Aditxt Inc,https://static.finnhub.io/logo/278ebd47277db15b770d06958e2e2b981b0f75047d9485ef7fd67eabe0c557f0.png,https://aditxt.com/,B,Medium,B,Medium,BB,Medium,2,13,57,15,06/10/2022,B,Medium,1726711
